Date         Average        Highest      Lowest   
2023-02-01   22.8           25           21 
2023-02-02   21.2           23           19 
2023-02-03   19.2           25           15 
2023-02-04   21.0           25           18 
2023-02-05   20.0           25           16 
2023-02-06   19.4           21           16 
2023-02-07   19.0           21           17 
2023-02-08   20.2           25           17 
2023-02-09   20.4           25           15 
2023-02-10   19.4           23           15 
2023-02-11   22.0           24           18 
2023-02-12   19.6           23           15 
2023-02-13   21.8           25           16 
2023-02-14   20.4           24           15 
2023-02-15   19.8           23           18 
2023-02-16   20.4           25           15 
2023-02-17   21.6           24           18 
2023-02-18   21.0           24           18 
2023-02-19   18.4           21           15 
2023-02-20   18.2           21           15 
2023-02-21   17.4           18           16 
2023-02-22   20.0           23           17 
2023-02-23   20.6           23           15 
2023-02-24   19.4           23           18 
2023-02-25   17.8           22           15 
2023-02-26   22.0           24           20 
2023-02-27   18.6           22           15 
2023-02-28   19.4           22           16 
